,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive,3PAr,FTr,TS%
0,1987-88,23.0,SEA,NBA,C,82.0,1080.0,9.8,12.4,22.2,17.2,3.9,1.4,1.5,20.0,15.0,0.2,1.4,1.6,0.069,-4.0,-0.7,-4.7,-0.7,Olden Polynice,0,,,
1,1987-88,23.0,SAC,NBA,PG,58.0,760.0,7.8,2.4,6.0,4.2,29.8,1.3,0.4,23.9,12.9,-0.3,0.1,-0.2,-0.011000000000000001,-3.3,-1.7,-4.9,-0.6,Michael Jackson,0,0.146,0.187,0.424
2,1987-88,22.0,TOT,NBA,PG,49.0,581.0,9.4,2.2,3.8,3.0,15.0,1.6,0.2,,22.3,-0.4,0.1,-0.3,-0.025,-3.3,-2.2,-5.4,-0.5,Tony White,0,,,
3,1987-88,23.0,BOS,NBA,PF,70.0,718.0,12.2,8.1,14.2,11.4,9.2,1.4,3.3,17.8,19.9,0.2,0.8,0.9,0.063,-3.0,0.4,-2.7,-0.1,Brad Lohaus,0,0.053,0.252,0.5429999999999999
4,1987-88,24.0,LAL,NBA,SG,40.0,380.0,10.4,1.3,6.8,4.2,21.7,0.8,0.6,12.1,20.0,0.1,0.2,0.4,0.046,-3.0,-1.5,-4.5,-0.2,Milt Wagner,0,0.068,0.19699999999999998,0.47600000000000003
5,1987-88,22.0,CLE,NBA,C,55.0,513.0,12.1,17.5,15.7,16.5,6.3,1.2,2.2,15.6,16.6,0.3,0.7,1.0,0.09300000000000001,-2.4,-0.6,-3.1,-0.1,Chris Dudley,0,0.0,0.518,0.505
6,1987-88,28.0,IND,NBA,PG,59.0,513.0,12.0,4.1,4.5,4.3,26.7,3.4,0.2,26.1,16.4,-0.2,0.6,0.4,0.039,-1.3,0.9,-0.4,0.2,Clinton Wheeler,0,0.0,0.258,0.507
7,1987-88,22.0,NYK,NBA,PG,44.0,364.0,8.7,1.5,6.5,3.9,32.8,2.1,0.2,26.2,17.9,-0.4,0.3,-0.1,-0.009000000000000001,-2.7,-1.1,-3.7,-0.2,Billy Donovan,0,0.064,0.193,0.444
8,1987-88,22.0,BOS,NBA,SG,49.0,405.0,14.3,8.8,9.6,9.2,9.3,1.9,2.1,12.1,26.3,0.1,0.4,0.4,0.052000000000000005,-2.2,-1.2,-3.4,-0.1,Reggie Lewis,0,0.021,0.295,0.504
9,1987-88,22.0,TOT,NBA,C,44.0,336.0,2.8,7.1,19.4,13.0,6.4,1.1,2.0,27.7,10.0,-0.5,0.4,-0.1,-0.013999999999999999,-9.4,1.2,-8.2,-0.5,Martin Nessley,0,0.0,0.34600000000000003,0.401
10,1987-88,29.0,MIL,NBA,PF,41.0,271.0,7.0,10.0,19.6,14.8,9.9,0.5,2.6,20.7,18.1,-0.4,0.3,-0.1,-0.013000000000000001,-6.0,-0.1,-6.1,-0.3,John Stroeder,0,,,
11,1987-88,23.0,UTA,NBA,SG,36.0,225.0,1.9,2.0,5.0,3.6,12.7,1.3,0.3,25.1,13.0,-0.4,0.2,-0.1,-0.026000000000000002,-7.4,-0.5,-7.9,-0.3,Bart Kofoed,0,0.146,0.271,0.428
12,1987-88,24.0,DET,NBA,SG,50.0,310.0,5.6,6.3,12.0,9.2,5.7,2.0,0.8,14.9,17.0,-0.5,0.4,-0.1,-0.008,-5.4,0.6,-4.8,-0.2,Ralph Lewis,0,0.011000000000000001,0.552,0.384
13,1986-87,23.0,CLE,NBA,SG,82.0,3064.0,17.2,6.0,7.8,6.9,21.1,3.2,1.5,15.6,28.9,-0.1,4.4,4.2,0.066,0.8,1.1,1.8,3.0,Ron Harper,0,0.057999999999999996,0.349,0.503
14,1986-87,22.0,IND,NBA,SF,82.0,2956.0,15.6,6.1,19.2,12.5,15.3,1.5,0.3,12.4,24.0,1.5,3.9,5.4,0.08800000000000001,0.4,-0.1,0.3,1.7,Chuck Person,0,0.102,0.21899999999999997,0.518
15,1986-87,21.0,CLE,NBA,C,80.0,2695.0,15.6,6.1,19.8,12.9,16.9,0.9,1.3,18.7,19.8,2.6,3.5,6.0,0.107,0.2,0.7,0.8,1.9,Brad Daugherty,0,0.0,0.44299999999999995,0.579
16,1986-87,22.0,SEA,NBA,PG,71.0,1972.0,14.1,5.6,12.8,9.2,35.5,3.0,1.3,29.9,10.3,1.9,2.2,4.1,0.099,0.5,2.2,2.6,2.3,Nate McMillan,1,0.023,0.46799999999999997,0.514
17,1986-87,22.0,NYK,NBA,SF,68.0,1719.0,13.3,7.6,14.5,11.0,6.5,1.4,1.7,10.2,17.9,1.9,1.3,3.1,0.08800000000000001,-1.2,-0.4,-1.6,0.2,Kenny Walker,0,0.006999999999999999,0.318,0.536
18,1986-87,22.0,TOT,NBA,SF-PF,63.0,1586.0,16.8,9.1,12.5,10.7,10.4,1.1,1.4,14.6,26.5,1.4,0.9,2.3,0.071,0.0,-1.7,-1.6,0.1,Walter Berry,0,0.004,0.376,0.561
