,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
0,2002-03,23.0,TOT,NBA,PG-SG,46.0,688.0,9.3,0.436,0.23600000000000002,0.318,3.4,8.1,5.9,19.4,2.1,0.4,14.2,13.0,0.3,0.4,0.7,0.049,-2.3,0.6,-1.7,0.0,Mike Wilks,0
1,2002-03,23.0,MIA,NBA,SF,35.0,487.0,12.4,0.512,0.031,0.636,6.0,13.9,9.8,11.3,0.8,0.5,13.2,18.4,0.4,0.4,0.9,0.084,-1.5,-0.8,-2.3,0.0,Sean Lampley,0
2,2002-03,22.0,TOR,NBA,SF,51.0,666.0,6.8,0.46299999999999997,0.278,0.222,2.6,7.7,5.0,5.4,1.5,1.7,17.4,17.7,-0.8,0.2,-0.5,-0.039,-4.2,-1.7,-5.8,-0.7,Chris Jefferies,0
3,2002-03,29.0,ORL,NBA,C,62.0,783.0,8.3,0.415,0.024,0.196,8.1,13.4,10.7,4.9,1.3,2.3,12.8,21.1,-1.0,0.6,-0.3,-0.021,-4.9,-1.7,-6.6,-0.9,Pat Burke,0
4,2002-03,24.0,CHI,NBA,C,55.0,682.0,11.3,0.521,0.01,0.5,10.7,16.0,13.4,3.8,0.7,2.3,15.5,19.3,0.4,0.5,0.9,0.063,-4.0,-1.4,-5.4,-0.6,Lonny Baxter,0
5,2002-03,29.0,HOU,NBA,SG,58.0,685.0,7.3,0.42700000000000005,0.162,0.135,2.8,10.2,6.6,10.9,2.3,0.6,15.6,12.5,-0.3,0.7,0.4,0.027000000000000003,-3.8,1.6,-2.3,-0.1,Juaquin Hawkins,0
6,2002-03,22.0,LAL,NBA,PG,76.0,872.0,5.8,0.447,0.27899999999999997,0.094,3.3,8.9,6.1,11.7,0.6,0.9,19.9,16.1,-0.9,0.3,-0.6,-0.033,-3.7,-2.3,-6.0,-0.9,Kareem Rush,0
7,2002-03,22.0,MIL,NBA,PF,39.0,441.0,9.6,0.474,0.078,0.248,5.5,8.5,7.0,3.3,0.8,3.0,11.0,20.1,-0.1,0.1,0.0,-0.003,-3.6,-2.3,-5.9,-0.4,Marcus Haislip,0
8,2002-03,20.0,LAC,NBA,PF,46.0,479.0,12.5,0.528,0.0,0.35700000000000004,7.6,16.9,12.3,7.8,0.8,1.8,13.8,17.7,0.3,0.3,0.6,0.062,-2.0,-1.1,-3.2,-0.1,Chris Wilcox,0
9,2002-03,24.0,ATL,NBA,PG,50.0,515.0,9.9,0.504,0.359,0.153,2.1,7.2,4.8,28.3,1.4,0.3,22.6,20.9,-0.1,0.1,0.0,0.001,-2.7,-2.4,-5.1,-0.4,Dan Dickau,0
10,2002-03,22.0,DET,NBA,SF,42.0,435.0,11.7,0.546,0.39799999999999996,0.14400000000000002,1.3,11.1,6.1,9.9,1.3,2.4,14.3,16.2,0.2,0.6,0.8,0.084,-0.6,0.5,0.0,0.2,Tayshaun Prince,1
11,2002-03,23.0,TOT,NBA,PF,48.0,444.0,4.1,0.33899999999999997,0.0,0.325,8.6,16.8,12.7,3.7,1.0,3.0,14.4,16.2,-0.9,0.4,-0.5,-0.052000000000000005,-7.8,-1.5,-9.3,-0.8,Ryan Humphrey,0
12,2002-03,23.0,PHI,NBA,PG,64.0,504.0,9.5,0.502,0.267,0.302,3.7,10.2,6.9,14.3,1.8,0.9,18.1,14.3,0.2,0.4,0.6,0.057999999999999996,-1.9,0.6,-1.3,0.1,John Salmons,0
13,2002-03,22.0,NJN,NBA,SG,36.0,274.0,7.1,0.428,0.243,0.09699999999999999,3.3,9.6,6.5,8.6,2.7,0.8,15.7,21.0,-0.5,0.5,0.0,-0.004,-5.4,0.7,-4.7,-0.2,Tamar Slay,0
14,2002-03,21.0,POR,NBA,PF,53.0,334.0,11.2,0.505,0.076,0.16899999999999998,5.4,13.7,9.6,6.2,2.4,0.2,15.4,20.7,-0.1,0.4,0.2,0.034,-3.4,-0.7,-4.1,-0.2,Qyntel Woods,0
15,2002-03,22.0,TOT,NBA,SG,19.0,111.0,7.4,0.387,0.37799999999999995,0.10800000000000001,1.0,7.5,4.1,18.0,0.9,0.7,4.9,16.5,0.0,0.1,0.0,0.017,-4.1,-1.2,-5.2,-0.1,Adam Harrington,0
16,2001-02,23.0,MEM,NBA,SF,78.0,3097.0,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.07400000000000001,0.2,0.3,0.5,1.9,Shane Battier,1
17,2001-02,21.0,MEM,NBA,C,82.0,3007.0,19.5,0.5660000000000001,0.005,0.44799999999999995,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,4.8,2.8,7.6,0.121,1.5,0.2,1.7,2.8,Pau Gasol,0
18,2001-02,21.0,GSW,NBA,SG,80.0,2629.0,13.8,0.48700000000000004,0.226,0.193,4.9,9.0,6.9,15.4,2.0,0.8,11.9,21.5,2.0,0.9,2.9,0.052000000000000005,0.1,-1.0,-0.9,0.7,Jason Richardson,0
19,2001-02,23.0,IND,NBA,PG,80.0,2442.0,13.4,0.446,0.23,0.245,3.7,9.9,6.9,42.8,3.0,1.2,24.3,20.7,-1.3,2.9,1.7,0.033,-0.6,0.2,-0.4,1.0,Jamaal Tinsley,0
20,2001-02,19.0,SAS,NBA,PG,77.0,2267.0,11.7,0.49700000000000005,0.29600000000000004,0.25,1.7,8.0,5.0,23.9,2.1,0.2,17.5,17.7,0.8,2.9,3.8,0.08,-1.7,0.6,-1.1,0.6,Tony Parker,0
21,2001-02,22.0,CHI,NBA,SG,78.0,2237.0,10.4,0.502,0.263,0.182,3.3,10.2,6.7,13.0,1.3,1.5,13.0,16.0,0.6,0.9,1.5,0.033,-1.7,-1.0,-2.7,-0.4,Trenton Hassell,0
