3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,G,MP,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,all_defensive
0.273,10.5,1.3,-4.4,-1.4,12.7,0.7,0.312,79.0,2279.0,-3.0,2.8,-1.0,8.5,1.1,12.9,7.6,0.474,16.8,-1.4,-0.3,-0.006999999999999999,0
0.433,20.0,1.4,-3.4,0.6,9.0,1.5,0.539,72.0,1474.0,-4.0,1.7,0.0,8.7,1.9,16.0,5.3,0.477,16.4,-0.5,1.6,0.051,0
0.478,8.8,0.7,-1.9,-0.1,9.2,1.7,0.154,78.0,1966.0,-1.8,5.2,1.2,9.1,1.2,10.2,7.2,0.506,12.3,0.0,2.9,0.07200000000000001,0
0.228,16.0,7.7,4.5,2.7,25.6,1.5,0.569,31.0,786.0,1.9,8.5,0.5,24.1,1.7,17.9,17.0,0.584,36.0,1.3,1.9,0.117,1
0.304,24.3,0.5,-0.4,-0.4,9.6,1.5,0.198,75.0,1982.0,0.0,2.8,2.6,14.9,2.2,14.1,6.3,0.555,18.5,0.8,4.1,0.1,0
0.574,6.0,1.4,-2.6,0.6,12.4,1.5,0.183,81.0,1642.0,-3.3,3.7,-0.1,7.7,1.6,11.1,7.9,0.486,11.6,-0.3,1.4,0.041,0
0.293,17.7,1.7,-5.1,-0.8,9.7,0.9,0.222,73.0,1643.0,-4.3,2.1,-1.7,7.6,1.2,20.3,5.9,0.487,18.2,-1.3,-0.8,-0.023,0
0.331,7.2,1.6,-4.5,-0.1,16.4,1.8,0.139,81.0,1632.0,-4.5,3.1,-1.0,6.9,1.2,14.0,9.8,0.469,15.4,-1.0,0.8,0.022,0
0.471,14.0,1.1,-2.0,-1.4,10.7,0.7,0.16399999999999998,82.0,1764.0,-0.6,2.6,0.6,11.9,1.4,12.6,6.7,0.518,21.6,0.0,1.3,0.037000000000000005,0
0.494,10.3,0.4,-2.0,-1.4,13.5,1.3,0.099,82.0,1888.0,-0.6,2.0,0.0,11.8,1.0,11.2,7.8,0.541,21.3,0.0,1.3,0.032,0
0.034,2.9,4.5,-2.4,0.7,15.9,1.2,0.156,55.0,859.0,-3.0,8.4,0.4,11.5,1.5,13.1,12.2,0.523,13.1,-0.1,1.6,0.08900000000000001,0
0.371,7.0,1.7,-3.8,0.6,11.2,0.7,0.192,30.0,557.0,-4.3,3.0,-0.3,9.0,2.5,15.0,7.0,0.511,17.1,-0.3,0.4,0.032,0
0.354,5.2,3.2,-2.2,-0.1,16.1,1.5,0.28600000000000003,82.0,1743.0,-2.2,5.8,0.3,12.3,1.8,13.2,10.8,0.529,19.7,-0.1,1.8,0.05,0
0.233,19.4,2.3,-2.8,1.8,12.6,1.3,0.188,78.0,1333.0,-4.5,2.1,-1.2,8.1,3.0,20.8,7.3,0.4320000000000001,14.2,-0.3,0.1,0.004,0
0.284,23.1,0.1,-5.6,-0.3,9.8,1.3,0.24,73.0,1248.0,-5.3,0.9,-1.2,7.5,1.5,18.1,5.4,0.456,18.3,-1.1,0.1,0.005,0
0.28300000000000003,18.1,0.6,-5.1,-0.3,7.8,0.8,0.139,64.0,973.0,-4.8,2.2,-0.7,5.7,1.4,15.4,4.9,0.387,12.2,-0.8,0.1,0.006,0
0.484,13.7,0.5,-1.1,0.3,13.9,1.0,0.245,57.0,1237.0,-1.3,2.0,0.8,12.3,1.9,12.3,8.0,0.556,16.6,0.3,1.8,0.07,0
0.191,22.8,1.7,-5.5,0.3,10.2,0.5,0.322,33.0,405.0,-5.8,3.0,-0.8,6.5,2.3,22.9,6.5,0.404,19.1,-0.3,-0.3,-0.041,0
0.319,7.2,1.1,-3.7,-0.8,14.4,1.3,0.293,78.0,1341.0,-3.0,3.8,0.2,10.3,1.3,12.5,9.1,0.539,18.1,-0.6,1.5,0.053,0
0.627,5.5,3.1,-5.1,-0.7,15.6,0.3,0.068,43.0,574.0,-4.3,4.2,-0.7,5.3,0.8,16.2,9.7,0.44,14.4,-0.4,-0.3,-0.029,0
0.502,9.0,1.1,-2.4,0.1,7.6,1.2,0.151,71.0,1074.0,-2.4,2.3,0.5,8.6,1.4,12.1,5.1,0.54,11.9,-0.1,1.7,0.077,0
0.139,22.7,1.5,-2.4,0.7,10.5,0.4,0.31,42.0,386.0,-3.1,0.9,-0.3,11.4,2.3,14.3,5.9,0.462,24.2,0.0,0.1,0.008,0
0.455,10.3,0.9,-1.9,-1.4,8.4,0.4,0.184,68.0,1016.0,-0.6,5.0,0.8,12.4,1.4,11.3,6.7,0.5329999999999999,19.2,0.0,1.2,0.055,0
0.722,9.3,0.6,-3.3,0.1,15.6,1.1,0.063,57.0,976.0,-3.5,1.2,-0.5,7.3,1.5,14.2,8.3,0.4920000000000001,15.4,-0.3,0.6,0.031,0
0.076,11.3,4.3,2.2,-0.4,27.5,2.8,0.239,82.0,2627.0,2.5,10.3,5.5,22.5,1.1,12.6,19.0,0.59,24.9,2.7,8.3,0.151,0
